cost,price,weight,purchase_date,product_type,product_level,maker,ingredient,height,width,depth
$298k,"$1,069,964",3 Ton 40 Kg,Mar 12 2004,C,basic,"M14548,M14550","IN732333,IN733179,IN732337,IN732853,IN733245",2.83 meters,95 cm,25 cm
,"$131,927",3 Ton 40 Kg,Jun 28 2013,C,basic,,,2.64 meters,99 cm,26 cm
$81k,"$165,078",3 Ton 10 Kg,Aug 26 2005,"Q,H",intermediate,M14551,"IN732130,IN732486,IN733321,IN733307,IN733019,IN732293",2.4 meters,103 cm,27 cm
,"$53,701",3 Ton 50 Kg,Jun 19 1998,A,super advanced,,,2.61 meters,100 cm,26 cm
$66k,"$56,852",2 Ton 900 Kg,Dec 04 2009,D,advanced,M14248,,2.38 meters,102 cm,27 cm
,"$46,488",3 Ton 110 Kg,Jan 16 2008,"J,D",intermediate,,IN732927,2.62 meters,100 cm,26 cm
$4k,"$107,824",3 Ton 220 Kg,Jul 10 2009,H,intermediate,M14431,"IN733076,IN733322,IN733323,IN733324",2.99 meters,96 cm,25 cm
$62k,"$28,370",2 Ton 890 Kg,Oct 23 1998,A,super advanced,,,2.61 meters,97 cm,25 cm
,"$155,875",3 Ton 0 Kg,Nov 24 2006,U,advanced,M14552,"IN732203,IN732261,IN732354",2.36 meters,104 cm,27 cm
,"$31,168",3 Ton 50 Kg,Jul 08 2005,"D,R",intermediate,M14553,"IN732642,IN732386,IN732845",2.38 meters,104 cm,27 cm
,"$85,945",3 Ton 10 Kg,Jun 13 1997,"J,D",intermediate,M14554,IN733325,2.24 meters,107 cm,28 cm
,"$121,885",2 Ton 960 Kg,Oct 24 2008,"F,D",advanced,M14222,"IN732126,IN732358,IN733326",2.63 meters,98 cm,26 cm
$285k,"$108,283",3 Ton 320 Kg,Aug 03 2007,V,super advanced,M14196,"IN732221,IN733327,IN733077,IN732608,IN732933,IN733137,IN732151,IN732928,IN732968",2.12 meters,115 cm,30 cm
,"$16,674",3 Ton 190 Kg,Jul 17 2009,H,advanced,M14555,"IN732656,IN732779,IN732671",2.9 meters,97 cm,25 cm
,"$56,732",2 Ton 980 Kg,May 02 1997,"D,A",super advanced,M14556,"IN732842,IN732119",2.54 meters,100 cm,26 cm
$50k,"$68,692",3 Ton 0 Kg,Aug 03 2007,J,intermediate,,"IN733215,IN732299,IN733328",2.34 meters,104 cm,27 cm
$100k,"$297,313",3 Ton 390 Kg,Aug 16 2013,H,super advanced,M14166,"IN732158,IN732062,IN732442,IN733069,IN732241",2.93 meters,99 cm,26 cm
$144k,"$68,721",3 Ton 200 Kg,Sep 30 2005,B,advanced,M14169,"IN732528,IN732152,IN732328,IN733329,IN732058",2.9 meters,97 cm,25 cm
,"$284,542",2 Ton 930 Kg,Jul 07 2006,U,advanced,M14557,"IN732600,IN732576,IN733188,IN733330",2.75 meters,95 cm,25 cm
,"$65,802",2 Ton 970 Kg,Feb 28 1997,"J,B",intermediate,,IN732245,2.86 meters,94 cm,25 cm
,"$48,907",2 Ton 860 Kg,Jan 03 1997,D,super advanced,M14232,"IN732503,IN733132,IN732926,IN732356,IN732531",2.56 meters,97 cm,25 cm
,"$88,747",3 Ton 100 Kg,May 26 2017,H,advanced,M14558,"IN733331,IN732403,IN732257",2.54 meters,102 cm,27 cm
,"$294,815",2 Ton 930 Kg,Sep 09 1998,"J,D",intermediate,,IN732254,2.95 meters,92 cm,24 cm
$471k,"$205,871",2 Ton 860 Kg,Aug 17 2007,C,intermediate,"M14269,M14559","IN732085,IN732685,IN732486,IN732621,IN733332",2.39 meters,101 cm,26 cm
,"$81,710",3 Ton 0 Kg,Jun 27 1997,J,intermediate,,IN732497,3.02 meters,92 cm,24 cm
$81k,"$46,126",2 Ton 870 Kg,May 29 2009,C,basic,,"IN732586,IN733333,IN733334",2.13 meters,107 cm,28 cm
$191k,"$43,844",3 Ton 200 Kg,Jul 06 2007,V,advanced,M14560,"IN732067,IN732450,IN733279,IN733335",2.95 meters,96 cm,25 cm
$160k,"$171,934",3 Ton 40 Kg,Dec 11 2015,D,super advanced,"M14436,M14437","IN732440,IN732402,IN732176",2.86 meters,95 cm,25 cm
$223k,"$223,356",3 Ton 100 Kg,Nov 21 2008,"B,R",advanced,M14245,"IN732479,IN732368,IN732109,IN732370,IN732395",2.8 meters,97 cm,25 cm
,"$95,337",3 Ton 90 Kg,Nov 28 1997,"D,R",advanced,M14245,"IN732105,IN732222",2.9 meters,95 cm,25 cm
$78k,"$165,461",3 Ton 130 Kg,Jul 27 2012,"P,P",advanced,M14331,"IN732946,IN733336,IN732528,IN732131,IN733337",2.67 meters,100 cm,26 cm
$69k,"$121,250",3 Ton 200 Kg,Aug 19 2011,H,super advanced,M14346,"IN733338,IN733339,IN733083,IN732113,IN733340,IN732363,IN732897,IN733341,IN732157",2.65 meters,101 cm,27 cm
,"$20,540",3 Ton 430 Kg,Mar 15 2013,L,super advanced,M14561,"IN732805,IN732330,IN733342,IN733343,IN733344",2.93 meters,100 cm,26 cm
$254k,"$113,267",3 Ton 370 Kg,Jun 30 2000,"T,H",advanced,M14496,"IN732165,IN733130,IN732249,IN733049,IN732419,IN733067",2.86 meters,100 cm,26 cm
$113k,"$102,128",3 Ton 160 Kg,Sep 25 1998,D,advanced,,IN732832,2.5 meters,104 cm,27 cm
,"$20,154",2 Ton 860 Kg,Aug 31 2007,D,advanced,,"IN733345,IN733269,IN732546,IN733346,IN733313,IN732273,IN732323,IN732089",2.76 meters,94 cm,25 cm
$238k,"$168,871",3 Ton 50 Kg,Dec 31 1999,"D,R",advanced,,"IN732108,IN732139",2.78 meters,97 cm,25 cm
$97k,"$201,180",3 Ton 110 Kg,Jan 30 2009,D,super advanced,M14562,"IN732723,IN732663,IN732717,IN732649,IN732432,IN732107,IN732121,IN732654,IN732435",2.38 meters,105 cm,28 cm
$88k,"$19,067",2 Ton 920 Kg,Aug 01 2003,"D,A",super advanced,M14357,"IN732094,IN732472",2.64 meters,97 cm,25 cm
$144k,"$236,749",3 Ton 80 Kg,May 26 2006,"F,A",super advanced,M14143,"IN732159,IN732152,IN732767,IN732839,IN732595,IN732711",2.72 meters,98 cm,26 cm
$254k,"$380,168",2 Ton 820 Kg,Sep 09 2009,D,advanced,M14563,"IN732551,IN732589,IN732276,IN732573,IN732282,IN733018,IN733153",2.71 meters,94 cm,25 cm
,"$40,720",3 Ton 340 Kg,Aug 28 2015,H,super advanced,M14378,"IN732459,IN732087,IN732122",2.96 meters,98 cm,26 cm
,"$125,288",3 Ton 130 Kg,Feb 01 2008,U,super advanced,M14536,"IN732457,IN733086,IN732319,IN733347,IN732577,IN732506,IN732365,IN733348",2.45 meters,104 cm,27 cm
$37k,"$43,906",3 Ton 0 Kg,Jan 24 2003,"N,U",super advanced,,"IN732161,IN732368,IN733349",2.57 meters,100 cm,26 cm
,"$45,940",3 Ton 20 Kg,Jun 05 2015,F,super advanced,"M14564,M14565","IN732698,IN733350,IN732531,IN732456,IN732066,IN732178,IN732414,IN733351,IN733352,IN733004,IN733014,IN733182,IN732074,IN732820,IN732204,IN732670",2.63 meters,99 cm,26 cm
$125k,"$113,588",2 Ton 870 Kg,Jul 19 2013,C,intermediate,M14216,"IN733346,IN733353,IN732247,IN732477",2.51 meters,98 cm,26 cm
$66k,"$349,017",2 Ton 970 Kg,May 19 2004,"K,D",intermediate,M14283,"IN732353,IN732804",2.98 meters,92 cm,24 cm
,"$228,934",3 Ton 160 Kg,Aug 22 2008,D,intermediate,M14566,"IN732589,IN732082,IN732117,IN732406,IN732280,IN732155,IN732987,IN733354",2.61 meters,101 cm,27 cm
$47k,"$47,502",2 Ton 870 Kg,Feb 01 2002,D,super advanced,,IN732218,2.84 meters,93 cm,24 cm
$97k,"$262,285",2 Ton 980 Kg,May 28 2004,"N,D",super advanced,M14357,,2.86 meters,94 cm,25 cm
$176k,"$177,864",2 Ton 900 Kg,Aug 15 2014,C,intermediate,M14492,"IN732112,IN732583,IN732521,IN732730,IN733056,IN732737,IN733355",3.26 meters,87 cm,23 cm
$160k,"$68,095",3 Ton 390 Kg,Apr 07 2017,"H,A",super advanced,M14567,"IN732368,IN732809,IN732675",2.91 meters,99 cm,26 cm
,"$13,546",2 Ton 860 Kg,May 22 1998,"J,B",intermediate,,,2.85 meters,92 cm,24 cm
$69k,"$117,718",3 Ton 230 Kg,Oct 19 2007,H,advanced,M14301,"IN732525,IN732653,IN733356,IN732413",2.61 meters,103 cm,27 cm
,"$42,029",3 Ton 120 Kg,Dec 01 2006,"U,H",super advanced,M14236,"IN732094,IN732581,IN733357,IN733358,IN733359,IN733360,IN732239",2.85 meters,96 cm,25 cm
$100k,"$144,122",3 Ton 190 Kg,Feb 09 2001,"S,U",advanced,M14536,"IN732593,IN733060,IN732528",2.86 meters,97 cm,25 cm
$40k,"$84,038",3 Ton 230 Kg,Aug 08 2003,"Q,H",super advanced,M14197,"IN732222,IN732390,IN733245,IN732372,IN732728,IN733066,IN732847",2.46 meters,106 cm,28 cm
,"$107,188",2 Ton 880 Kg,Sep 05 2003,D,super advanced,,IN732126,2.52 meters,99 cm,26 cm
$97k,"$195,159",3 Ton 70 Kg,Jul 22 2005,"T,H",advanced,M14298,"IN732630,IN732205,IN732839,IN732611,IN732720,IN732560,IN732198",2.52 meters,102 cm,27 cm
$62k,"$206,928",2 Ton 950 Kg,Nov 27 2009,N,super advanced,M14420,,2.68 meters,97 cm,25 cm
$113k,"$178,028",3 Ton 200 Kg,May 04 2012,D,super advanced,M14248,"IN732508,IN732717,IN732112,IN733128,IN732487,IN733235,IN733070,IN733043,IN732500,IN732723",2.69 meters,100 cm,26 cm
,"$25,498",3 Ton 0 Kg,Dec 21 2012,D,super advanced,M14568,"IN733361,IN732648,IN732923,IN732355,IN732435,IN733062,IN732098",2.55 meters,100 cm,26 cm
$23k,"$44,716",2 Ton 870 Kg,Jan 19 2007,"D,H",super advanced,M14522,"IN732504,IN733362,IN732798,IN732436,IN732858",2.56 meters,98 cm,26 cm
$97k,"$60,218",3 Ton 60 Kg,Jun 01 2012,N,super advanced,M14569,"IN732507,IN732453,IN733363,IN733364,IN732150,IN732405",2.72 meters,98 cm,26 cm
$62k,"$83,886",3 Ton 0 Kg,Nov 01 1996,"N,A",super advanced,M14565,"IN732746,IN733365,IN733366,IN732673,IN732222,IN732978,IN732375",2.82 meters,95 cm,25 cm
$113k,"$102,001",3 Ton 220 Kg,Aug 02 2002,"Q,N",super advanced,"M14570,M14363","IN732130,IN732678,IN732308,IN732408",3.11 meters,94 cm,25 cm
$40k,"$18,203",2 Ton 810 Kg,Apr 02 2004,"P,P",intermediate,,,2.55 meters,97 cm,25 cm
$166k,"$78,360",2 Ton 950 Kg,Nov 19 2010,A,super advanced,M14571,"IN732275,IN732458",2.62 meters,98 cm,26 cm
$81k,"$61,221",3 Ton 220 Kg,Sep 18 2009,"H,M",super advanced,M14164,"IN732776,IN733039,IN733213,IN732369,IN732321,IN732430",2.65 meters,102 cm,27 cm
$474k,"$1,261,674",3 Ton 80 Kg,Sep 05 2014,C,intermediate,"M14572,M14573","IN732663,IN733367,IN732120,IN733368,IN732193",2.7 meters,98 cm,26 cm
,"$53,302",2 Ton 900 Kg,Apr 25 2014,H,super advanced,M14438,"IN733026,IN732868",2.66 meters,96 cm,25 cm
$47k,"$32,279",2 Ton 900 Kg,Aug 09 2013,D,advanced,M14574,"IN733369,IN733187,IN733370,IN732835,IN732775",2.26 meters,104 cm,27 cm
$317k,"$349,339",2 Ton 900 Kg,Oct 04 2006,"F,D",advanced,M14575,"IN732267,IN733132,IN732502",2.69 meters,96 cm,25 cm
$238k,"$165,626",3 Ton 360 Kg,May 14 2010,D,super advanced,M14576,"IN732217,IN732213,IN732121,IN732853,IN732104,IN732807,IN733159,IN732415,IN732185",2.69 meters,103 cm,27 cm
$600k,"$1,111,723",3 Ton 370 Kg,Jan 15 2016,A,advanced,M14455,"IN733371,IN732313,IN732151,IN732766,IN732690,IN732601,IN732152,IN732155,IN732205,IN732993,IN732569,IN732164",2.36 meters,110 cm,29 cm
$113k,"$58,106",2 Ton 920 Kg,Feb 11 2011,"J,D",intermediate,M14417,"IN732788,IN732125",2.26 meters,105 cm,27 cm
$216k,"$272,323",3 Ton 340 Kg,Jul 31 2015,V,super advanced,M14519,"IN732073,IN732194,IN732893,IN732188,IN733372,IN732391",2.5 meters,106 cm,28 cm
$474k,"$377,940",2 Ton 900 Kg,May 07 2010,"J,B",intermediate,,"IN732401,IN732321,IN732875,IN733018,IN732846,IN732231,IN732490,IN732632,IN732358",2.93 meters,92 cm,24 cm
,"$154,046",3 Ton 250 Kg,Jun 05 1998,"H,A",super advanced,M14170,"IN732777,IN732140,IN732614,IN732593",2.29 meters,110 cm,29 cm
$411k,"$387,636",2 Ton 990 Kg,Jan 09 2014,A,advanced,M14310,"IN732766,IN732122,IN732074,IN733373,IN733030,IN733374,IN733375",2.8 meters,95 cm,25 cm
$552k,"$474,590",3 Ton 180 Kg,May 21 2010,A,advanced,M14462,"IN732122,IN732294,IN732451,IN732555,IN732528,IN732066,IN732788",1.99 meters,116 cm,31 cm
$144k,"$227,606",3 Ton 20 Kg,Oct 07 2000,D,intermediate,M14575,"IN732832,IN732393,IN732473,IN732321,IN732415",2.38 meters,104 cm,27 cm
,"$67,231",2 Ton 950 Kg,Jun 18 2010,"U,A",super advanced,"M14433,M14434","IN732172,IN732559,IN733376,IN733377,IN732194,IN733215,IN733044,IN732155,IN733378",2.54 meters,99 cm,26 cm
,"$21,275",3 Ton 90 Kg,Jul 24 1998,"F,H",super advanced,,"IN733379,IN732528",2.37 meters,105 cm,28 cm
$317k,"$247,172",3 Ton 600 Kg,Oct 03 2003,"F,H",super advanced,M14361,"IN732143,IN732885,IN733380,IN732305,IN732640,IN732249,IN732325",2.56 meters,109 cm,29 cm
$191k,"$147,234",3 Ton 130 Kg,Oct 25 2013,"F,H",super advanced,M14148,"IN732964,IN732485,IN733086,IN732531,IN732500,IN732928,IN732188,IN732328,IN732239",2.54 meters,102 cm,27 cm
$11k,"$86,857",3 Ton 90 Kg,May 11 2005,"D,H",super advanced,M14577,"IN733020,IN732618,IN732576,IN732308",2.91 meters,95 cm,25 cm
,"$92,024",2 Ton 800 Kg,Mar 30 2007,"J,D",intermediate,M14227,"IN732226,IN732961,IN732501",2.8 meters,92 cm,24 cm
$160k,"$239,499",2 Ton 850 Kg,Mar 25 2005,"J,D",intermediate,M14578,"IN732501,IN732226,IN732961",3.03 meters,89 cm,23 cm
,"$42,091",3 Ton 60 Kg,Aug 07 1998,S,advanced,M14579,"IN732660,IN732252,IN732748",2.83 meters,96 cm,25 cm
$50k,"$67,750",2 Ton 930 Kg,Apr 07 2006,N,super advanced,,"IN733381,IN732559,IN732513,IN733382,IN733383",2.95 meters,92 cm,24 cm
$176k,"$333,413",2 Ton 920 Kg,May 01 1998,"J,D",intermediate,,"IN732788,IN732104,IN732171",3.05 meters,90 cm,24 cm
,"$62,732",3 Ton 130 Kg,Feb 22 2008,H,super advanced,M14457,"IN733384,IN733385,IN732353,IN732671,IN732268,IN732839,IN733153",2.84 meters,97 cm,25 cm
$203k,"$49,739",3 Ton 20 Kg,Jul 20 2001,A,super advanced,,"IN732615,IN732681,IN733182",2.67 meters,98 cm,26 cm
$128k,"$286,754",3 Ton 0 Kg,Jan 08 2016,D,super advanced,M14580,"IN732338,IN732395,IN732877,IN733386,IN732258",2.67 meters,98 cm,26 cm
$128k,"$194,275",3 Ton 90 Kg,Mar 18 2011,D,super advanced,M14562,"IN732121,IN732649,IN733214,IN732361,IN732145,IN732185,IN732128",2.62 meters,100 cm,26 cm
,"$99,175",3 Ton 380 Kg,May 15 2015,"P,H",advanced,M14581,"IN732202,IN732612,IN732994,IN732868,IN733387",2.89 meters,100 cm,26 cm
$72k,"$39,087",2 Ton 860 Kg,Dec 21 2001,"D,R",advanced,,"IN732587,IN732183,IN733388,IN733389,IN732689,IN732717,IN733353,IN733164",2.37 meters,101 cm,27 cm
$128k,"$100,062",3 Ton 340 Kg,Aug 23 2006,"P,H",super advanced,M14365,"IN733272,IN732595,IN732612",3.05 meters,96 cm,25 cm
$254k,"$412,128",3 Ton 100 Kg,Apr 03 2009,"D,A",advanced,M14156,"IN732459,IN732469,IN732766,IN732815",2.44 meters,104 cm,27 cm
,"$20,796",3 Ton 210 Kg,Aug 01 1997,H,super advanced,M14582,IN732701,2.61 meters,102 cm,27 cm
$59k,"$35,711",2 Ton 940 Kg,Jun 13 2014,U,advanced,M14238,"IN732660,IN733202,IN732282",2.67 meters,97 cm,25 cm
$348k,"$366,523",3 Ton 100 Kg,Nov 30 2007,"N,A",advanced,M14449,"IN732231,IN732153,IN732740,IN733390,IN732191,IN732924",2.52 meters,102 cm,27 cm
$182k,"$165,371",2 Ton 950 Kg,Nov 30 2012,"N,A",advanced,"M14433,M14434","IN732231,IN732149,IN732523,IN733391",3.23 meters,88 cm,23 cm
$66k,"$97,323",2 Ton 880 Kg,Aug 08 2003,N,super advanced,,"IN732661,IN733190,IN733110",2.96 meters,91 cm,24 cm
$66k,"$44,714",3 Ton 20 Kg,Jul 03 2009,"K,D",advanced,M14583,"IN733269,IN732656,IN733132,IN732435",2.45 meters,102 cm,27 cm
$455k,"$405,944",3 Ton 80 Kg,Apr 28 2017,"N,D",advanced,M14358,"IN732393,IN732921,IN732435,IN733320,IN733392,IN733209,IN732084,IN732346",2.13 meters,111 cm,29 cm
,"$13,966",,Jun 12 2015,"N,D",intermediate,,,nan meters,,
,"$176,291",3 Ton 0 Kg,Feb 12 2010,"K,D",advanced,M14283,"IN732368,IN732086,IN732349,IN732500",2.37 meters,104 cm,27 cm
$172k,"$21,843",3 Ton 240 Kg,May 14 2004,"F,D",super advanced,M14584,"IN732108,IN732582,IN732227,IN732566,IN732228",2.24 meters,111 cm,29 cm
,"$18,238",3 Ton 80 Kg,Jan 03 1997,D,super advanced,M14582,"IN733157,IN733393",2.07 meters,112 cm,29 cm
$128k,"$93,550",3 Ton 270 Kg,Oct 03 2000,H,super advanced,M14149,"IN732477,IN732322,IN732237,IN732361",2.72 meters,101 cm,26 cm
$326k,"$592,412",3 Ton 550 Kg,Feb 16 2001,"I,M",super advanced,M14170,"IN732189,IN732232",2.93 meters,101 cm,27 cm
$31k,"$39,985",3 Ton 0 Kg,May 25 2012,E,intermediate,,,2.63 meters,98 cm,26 cm
$72k,"$16,147",3 Ton 40 Kg,Jul 05 2002,"P,H",advanced,,"IN733394,IN732595",2.41 meters,103 cm,27 cm
$97k,"$15,906",3 Ton 80 Kg,Nov 05 1999,"F,H",super advanced,,IN732510,2.94 meters,94 cm,25 cm
,"$136,699",3 Ton 60 Kg,Oct 27 2006,"T,H",intermediate,,"IN732263,IN732611,IN732282",2.97 meters,93 cm,24 cm
,"$316,776",2 Ton 840 Kg,Nov 25 2011,C,basic,M14585,"IN732652,IN733006,IN732681,IN732786,IN732993,IN733022,IN733395,IN732785,IN733396",2.37 meters,101 cm,26 cm
$66k,"$55,948",2 Ton 980 Kg,Jan 21 2000,D,super advanced,M14514,"IN732386,IN733112,IN733397,IN732309,IN732226,IN732921",2.65 meters,98 cm,26 cm
,"$16,175",3 Ton 180 Kg,Feb 23 2007,"T,H",intermediate,,IN732318,2.46 meters,105 cm,27 cm
$9k,"$193,588",3 Ton 130 Kg,Jan 02 2015,H,intermediate,,,2.29 meters,108 cm,28 cm
,"$67,984",3 Ton 210 Kg,Jan 13 2017,H,intermediate,,"IN733398,IN733399,IN732960,IN733400,IN733401,IN733402,IN733403",2.99 meters,95 cm,25 cm
$179k,"$43,191",4 Ton 100 Kg,Dec 05 2003,V,advanced,,IN732276,3.27 meters,103 cm,27 cm
$443k,"$100,590",3 Ton 270 Kg,Dec 09 2016,"B,A",advanced,M14450,"IN732172,IN733245,IN733404",2.21 meters,112 cm,29 cm
$81k,"$47,894",3 Ton 20 Kg,Feb 11 2005,N,advanced,,"IN732656,IN733163,IN732097",2.53 meters,101 cm,26 cm
$411k,"$430,962",3 Ton 400 Kg,Mar 03 1999,"S,A",advanced,M14122,IN732427,2.88 meters,100 cm,26 cm
$44k,"$34,252",2 Ton 990 Kg,Jun 01 2001,"S,N",intermediate,,,2.52 meters,100 cm,26 cm
$505k,"$633,161",3 Ton 230 Kg,Feb 27 2015,"S,A",advanced,M14586,"IN732693,IN732742,IN732694,IN733101,IN732579,IN732319,IN732624",2.56 meters,103 cm,27 cm
$103k,"$58,652",2 Ton 970 Kg,Jun 17 2011,"D,R",super advanced,M14587,"IN732218,IN732415,IN732517,IN733045,IN732421,IN733405,IN732125,IN733262,IN733406,IN733407,IN733408",2.61 meters,98 cm,26 cm
,"$39,419",2 Ton 850 Kg,Dec 07 2012,U,advanced,M14588,"IN732326,IN733302,IN733390,IN733409,IN732647,IN732867",2.87 meters,92 cm,24 cm
$62k,"$66,493",3 Ton 140 Kg,Aug 01 2008,"U,H",super advanced,M14258,"IN732084,IN732505,IN732110,IN733226,IN732260,IN732849",2.73 meters,99 cm,26 cm
,"$64,752",2 Ton 950 Kg,Mar 13 1998,D,intermediate,M14589,"IN732234,IN732115",2.18 meters,107 cm,28 cm
$194k,"$529,774",3 Ton 450 Kg,Jul 17 2015,U,super advanced,M14545,"IN732108,IN732577,IN732329,IN732448,IN732496,IN733410,IN733411,IN732381,IN733412",3.24 meters,95 cm,25 cm
$285k,"$322,057",3 Ton 170 Kg,Mar 23 2001,A,advanced,M14590,"IN732231,IN732328,IN732322,IN732538,IN732631,IN733177,IN732309,IN732276",2.6 meters,102 cm,27 cm
$59k,"$121,055",2 Ton 960 Kg,Jul 23 2004,"J,D",intermediate,,IN732427,2.46 meters,101 cm,26 cm
,"$77,215",2 Ton 950 Kg,May 08 1998,"J,D",intermediate,M14184,,2.33 meters,104 cm,27 cm
,"$112,728",2 Ton 960 Kg,Jul 04 2008,"D,R",super advanced,,"IN733102,IN732698,IN732730",2.34 meters,104 cm,27 cm
$25k,"$101,861",2 Ton 900 Kg,Jul 21 2006,"Q,H",intermediate,M14422,"IN732319,IN732487,IN732746,IN732055,IN732691,IN732658,IN733213",2.38 meters,102 cm,27 cm
,"$437,620",3 Ton 260 Kg,Sep 18 1998,H,super advanced,M14549,"IN732254,IN732489,IN732108,IN732570,IN732110",2.82 meters,99 cm,26 cm
$66k,"$8,814",3 Ton 10 Kg,Jan 28 2000,"F,U",super advanced,,IN733179,2.83 meters,95 cm,25 cm
$185k,"$254,298",3 Ton 30 Kg,Jul 29 2016,"N,D",intermediate,M14591,IN732591,2.86 meters,95 cm,25 cm
$65k,"$132,493",3 Ton 370 Kg,Oct 09 2002,"Q,H",super advanced,M14182,"IN732786,IN732524,IN733413,IN732292,IN733249,IN733414,IN732221,IN732911,IN732808,IN732650,IN733280,IN733415",3.11 meters,96 cm,25 cm
$78k,"$18,768",2 Ton 900 Kg,Feb 02 2001,U,super advanced,M14592,"IN732137,IN732173,IN732959,IN732109,IN732163,IN732892",3.17 meters,88 cm,23 cm
$128k,"$190,254",2 Ton 950 Kg,Sep 03 2004,N,super advanced,,"IN732700,IN732691,IN732658,IN732490",2.44 meters,101 cm,27 cm
$31k,"$12,006",2 Ton 950 Kg,Mar 14 2008,"T,H",advanced,M14592,,2.7 meters,96 cm,25 cm
$106k,"$467,973",3 Ton 160 Kg,Sep 25 2009,"H,A",super advanced,M14196,IN732410,2.99 meters,95 cm,25 cm
$5k,"$24,648",2 Ton 780 Kg,Jun 03 2016,D,super advanced,M14194,"IN732605,IN732529,IN732356",1.94 meters,110 cm,29 cm
,"$21,851",2 Ton 960 Kg,Oct 20 2006,D,super advanced,,"IN732792,IN733100,IN732647,IN732187,IN732121,IN732235,IN732219",2.86 meters,94 cm,25 cm
$317k,"$863,806",2 Ton 910 Kg,Jul 18 2014,"S,U",advanced,M14402,"IN732746,IN732139",3.07 meters,90 cm,23 cm
,"$91,974",3 Ton 100 Kg,Jan 08 1999,"P,P",intermediate,,,2.45 meters,104 cm,27 cm
,"$85,721",3 Ton 110 Kg,Nov 13 1998,R,super advanced,M14402,"IN732660,IN732350,IN732367,IN732614,IN732097,IN733189",2.76 meters,98 cm,26 cm
$631k,"$369,032",3 Ton 50 Kg,Mar 30 2012,"B,A",advanced,M14315,"IN732433,IN732416,IN732576,IN732716,IN732446,IN732590,IN732339",2.19 meters,109 cm,28 cm
,"$12,835",2 Ton 940 Kg,Jan 27 2017,U,super advanced,M14593,"IN733416,IN732150,IN733417,IN733022,IN733418,IN732507",2.7 meters,96 cm,25 cm
$317k,"$112,843",3 Ton 150 Kg,Dec 24 2010,U,super advanced,M14383,"IN732489,IN732391,IN732143,IN732656,IN732849",2.97 meters,95 cm,25 cm
$97k,"$123,459",3 Ton 200 Kg,Jun 29 2007,"T,H",advanced,,IN732766,3.02 meters,95 cm,25 cm
,"$20,221",2 Ton 900 Kg,Nov 14 1997,"F,D",super advanced,,"IN733379,IN733419,IN732113,IN732729",2.5 meters,99 cm,26 cm
$22k,"$18,815",3 Ton 0 Kg,May 28 2004,"T,D",advanced,,"IN732548,IN732930,IN733046",2.65 meters,98 cm,26 cm
$213k,"$81,377",3 Ton 910 Kg,Jan 18 2008,N,super advanced,"M14565,M14483","IN732895,IN733059,IN732531,IN733420,IN733421,IN733422,IN733423,IN733424,IN732164,IN732456,IN733425,IN732061,IN732074,IN732231",2.41 meters,117 cm,31 cm
,"$90,948",3 Ton 70 Kg,Jan 23 1998,"F,D",super advanced,M14594,"IN732093,IN732811,IN732625,IN732994",2.72 meters,98 cm,26 cm
$254k,"$511,660",3 Ton 20 Kg,Apr 08 2011,D,advanced,M14313,"IN732217,IN732220,IN732256,IN732219,IN732235,IN732222,IN732299,IN732355,IN732632,IN733160,IN732820",2.69 meters,98 cm,26 cm
$254k,"$422,650",3 Ton 10 Kg,Apr 25 2014,D,advanced,M14313,"IN732217,IN732220,IN732256,IN732235,IN732222,IN732355,IN732299,IN732187,IN732388",2.59 meters,99 cm,26 cm
$128k,"$96,361",3 Ton 130 Kg,Oct 08 2014,"T,D",advanced,M14156,"IN732615,IN732097,IN732625,IN732395,IN732238,IN733372,IN732736",3.07 meters,93 cm,24 cm
$537k,"$1,049,423",3 Ton 210 Kg,May 15 2015,"B,A",advanced,M14595,"IN732919,IN732689,IN733426,IN732313,IN732482,IN733427,IN733428,IN732569,IN732249,IN732054,IN733283,IN732531",2.84 meters,98 cm,26 cm
,"$219,224",3 Ton 40 Kg,Jan 06 2006,D,advanced,,"IN732701,IN732310,IN732689",2.17 meters,109 cm,29 cm
$355k,"$137,113",2 Ton 850 Kg,Oct 08 2011,"B,D",intermediate,M14591,"IN732591,IN732723,IN733006,IN732114,IN732912",2.51 meters,98 cm,26 cm
,"$213,864",3 Ton 310 Kg,Aug 18 2017,"H,A",super advanced,M14254,"IN732758,IN733429,IN733429,IN732221,IN732242,IN732688,IN733375,IN732791,IN732967,IN733430,IN732589",2.4 meters,108 cm,28 cm
$72k,"$98,531",3 Ton 0 Kg,Nov 18 2016,D,advanced,"M14373,M14374","IN732531,IN732746,IN733035,IN732420,IN732122,IN732692,IN732121",2.71 meters,97 cm,25 cm
,"$376,165",3 Ton 70 Kg,May 02 2008,"P,P",intermediate,M14188,"IN733431,IN732275,IN732315,IN732566,IN732816,IN732137,IN732738,IN733432,IN732103",2.31 meters,106 cm,28 cm
,"$57,571",2 Ton 970 Kg,Oct 30 1998,D,super advanced,,"IN733057,IN732710,IN732358",2.51 meters,100 cm,26 cm
,"$51,626",2 Ton 980 Kg,Aug 29 2003,A,advanced,,IN732200,2.67 meters,97 cm,25 cm
$116k,"$144,281",2 Ton 980 Kg,Dec 09 2011,D,super advanced,M14505,"IN732583,IN733262,IN732876,IN732517,IN733128",2.42 meters,102 cm,27 cm
